Region,Council,Swim site,Date,Time,Enterococci (cfu/100mL),Water temperature (°C),Conductivity (µS/cm),Latitude,Longitude
Sydney City,Randwick City Council,South Maroubra Beach,15/09/2023,09:20:00,2,18,51700,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,15/09/2023,08:43:00,1,18,50900,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,15/09/2023,08:24:00,0,17,50600,-33.914578000,151.267659000
Sydney City,Waverley Council,Tamarama Beach,15/09/2023,07:54:00,0,17,50300,-33.900805000,151.270734000
Sydney City,Randwick City Council,Gordons Bay (East),15/09/2023,08:31:00,0,17,50600,-33.915646000,151.264558000
Sydney City,Randwick City Council,Maroubra Beach,15/09/2023,09:07:00,0,18,51700,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,15/09/2023,08:07:00,3,17,48200,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,08/09/2023,07:34:00,0,17,53400,-33.903087000,151.268790000
Sydney City,Randwick City Council,Maroubra Beach,08/09/2023,08:30:00,0,17,53800,-33.948896000,151.257459000
Sydney City,Randwick City Council,Gordons Bay (East),08/09/2023,07:52:00,0,17,53900,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,08/09/2023,07:24:00,12,17,53100,-33.900805000,151.270734000
Sydney City,Randwick City Council,Clovelly Beach,08/09/2023,07:45:00,8,17,54100,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,08/09/2023,08:11:00,10,17,54100,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,08/09/2023,08:35:00,1,17,53800,-33.951378000,151.257322000
Sydney City,Randwick City Council,Malabar Beach,08/09/2023,08:52:00,0,16,53500,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,08/09/2023,08:40:00,3,16,53800,-33.953515000,151.258009000
Sydney City,Waverley Council,Bondi Beach,08/09/2023,07:10:00,17,17,53100,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,08/09/2023,09:10:00,3,17,53500,-33.979882000,151.251417000
Sydney City,Randwick City Council,Little Bay Beach,04/09/2023,11:06:00,38,19,53900,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,04/09/2023,08:24:00,1,17,54000,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Rockpool,04/09/2023,10:17:00,2,18,54100,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,04/09/2023,10:45:00,1,18,54300,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Beach,04/09/2023,10:22:00,2,18,54100,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,04/09/2023,09:42:00,14,17,54000,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,04/09/2023,09:26:00,0,17,54000,-33.914578000,151.267659000
Sydney City,Waverley Council,Tamarama Beach,04/09/2023,08:46:00,0,17,54100,-33.900805000,151.270734000
Sydney City,Randwick City Council,Gordons Bay (East),04/09/2023,09:35:00,0,17,53800,-33.915646000,151.264558000
Sydney City,Randwick City Council,Maroubra Beach,04/09/2023,10:01:00,3,18,54100,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,04/09/2023,09:00:00,0,17,54100,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,29/08/2023,08:23:00,1,17,54100,-33.903087000,151.268790000
Sydney City,Randwick City Council,Maroubra Beach,29/08/2023,09:18:00,14,18,54300,-33.948896000,151.257459000
Sydney City,Randwick City Council,Gordons Bay (East),29/08/2023,08:42:00,0,18,53900,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,29/08/2023,08:09:00,0,17,54100,-33.900805000,151.270734000
Sydney City,Randwick City Council,Clovelly Beach,29/08/2023,08:37:00,1,17,54000,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,29/08/2023,08:56:00,22,18,54300,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,29/08/2023,09:28:00,34,18,53900,-33.951378000,151.257322000
Sydney City,Randwick City Council,Malabar Beach,29/08/2023,09:49:00,11,18,54000,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,29/08/2023,09:31:00,5,18,52500,-33.953515000,151.258009000
Sydney City,Randwick City Council,Little Bay Beach,29/08/2023,10:14:00,18,18,53600,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,29/08/2023,07:50:00,0,17,54300,-33.891157000,151.278267000
Sydney City,Waverley Council,Bondi Beach,23/08/2023,07:42:00,6,16,54000,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,23/08/2023,10:12:00,0,17,54000,-33.979882000,151.251417000
